Country Code,IMF Country Code,Country,Indicator Type,Series Name,2016,2017,2018,2019,2020,2021,2022,Note
POL,964,Poland,Inflation,Headline Consumer Price Inflation,-0.66,1.98,1.81,2.31,3.37,5.1,14.3,Annual average inflation
PRI,359,Puerto Rico,Inflation,Headline Consumer Price Inflation,-0.29,1.75,1.27,0.1,-1.3,2.41,4.39,Annual average inflation
PRT,182,Portugal,Inflation,Headline Consumer Price Inflation,0.61,1.56,0.99,0.3,-0.01,1.27,7.8,Annual average inflation
PRY,288,Paraguay,Inflation,Headline Consumer Price Inflation,4.08,3.6,3.96,2.76,1.77,4.79,9.77,Annual average inflation
PSE,488,West Bank and Gaza,Inflation,Headline Consumer Price Inflation,-0.22,0.21,-0.2,1.58,-0.74,1.24,,Annual average inflation
QAT,453,Qatar,Inflation,Headline Consumer Price Inflation,2.68,0.4,0.22,-0.55,-2.54,2.3,5,Annual average inflation
ROU,968,Romania,Inflation,Headline Consumer Price Inflation,-1.55,1.34,4.64,3.83,2.63,5.05,13.8,Annual average inflation
RUS,922,Russian Federation,Inflation,Headline Consumer Price Inflation,7.04,3.68,2.88,4.47,3.38,6.69,13.75,Annual average inflation
RWA,714,Rwanda,Inflation,Headline Consumer Price Inflation,5.72,4.84,1.36,2.43,9.85,-0.39,17.7,Annual average inflation
SAU,456,Saudi Arabia,Inflation,Headline Consumer Price Inflation,2.05,-0.85,2.47,-2.09,3.45,3.06,2.5,Annual average inflation
SDN,732,Sudan,Inflation,Headline Consumer Price Inflation,17.75,32.35,63.29,50.99,17087.72,359.09,138.81,Annual average inflation
SEN,722,Senegal,Inflation,Headline Consumer Price Inflation,0.84,1.32,0.46,1.02,2.55,2.18,9.69,Annual average inflation
SGP,576,Singapore,Inflation,Headline Consumer Price Inflation,-0.54,0.58,0.45,0.56,-0.18,2.3,6.02,Annual average inflation
SLB,813,Solomon Islands,Inflation,Headline Consumer Price Inflation,0.5,0.48,2.66,1.83,2.96,-0.11,3.74,Annual average inflation
SLE,724,Sierra Leone,Inflation,Headline Consumer Price Inflation,10.88,18.22,16.03,14.8,13.45,11.87,25.91,Annual average inflation
SLV,253,El Salvador,Inflation,Headline Consumer Price Inflation,0.61,1.01,1.09,0.07,-0.37,3.47,7.2,Annual average inflation
SMR,135,San Marino,Inflation,Headline Consumer Price Inflation,0.57,1,1.73,0.95,0.22,0.76,2.08,Annual average inflation
SRB,942,Serbia,Inflation,Headline Consumer Price Inflation,1.12,3.13,1.95,1.85,1.58,4.09,11.98,Annual average inflation
